city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
6,rajkot,2023-07-01,31,25,80,9,15
6,rajkot,2023-07-02,29,27,76,6,19
6,rajkot,2023-07-03,32,24,90,7,21
6,rajkot,2023-07-04,34,27,78,9,17
6,rajkot,2023-07-05,29,23,90,9,25
6,rajkot,2023-07-06,37,29,83,8,23
6,rajkot,2023-07-07,37,26,89,7,19
6,rajkot,2023-07-08,30,24,81,7,17
6,rajkot,2023-07-09,32,24,76,8,24
6,rajkot,2023-07-10,33,25,88,6,28
6,rajkot,2023-07-11,32,24,87,9,13
6,rajkot,2023-07-12,37,26,86,5,24
6,rajkot,2023-07-13,31,25,85,7,27
6,rajkot,2023-07-14,31,26,90,9,22
6,rajkot,2023-07-15,35,27,81,8,27
6,rajkot,2023-07-16,30,26,76,7,18
6,rajkot,2023-07-17,32,27,80,6,17
6,rajkot,2023-07-18,32,24,88,8,25
6,rajkot,2023-07-19,32,24,81,6,17
6,rajkot,2023-07-20,31,28,81,9,13
6,rajkot,2023-07-21,32,28,85,6,25
6,rajkot,2023-07-22,30,27,87,8,26
6,rajkot,2023-07-23,29,28,84,8,29
6,rajkot,2023-07-24,32,25,78,7,18
6,rajkot,2023-07-25,31,25,88,9,20
6,rajkot,2023-07-26,33,23,74,7,15
6,rajkot,2023-07-27,33,26,79,8,21
6,rajkot,2023-07-28,35,29,89,8,25
6,rajkot,2023-07-29,30,25,85,7,13
6,rajkot,2023-07-30,30,24,84,8,14
6,rajkot,2023-07-31,34,26,81,8,27
