city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
8,Valsad,01-07-2023,30,22,54,2,32
8,Valsad,02-07-2023,33,27,45,3,31
8,Valsad,03-07-2023,33,24,51,1,37
8,Valsad,04-07-2023,29,27,53,0,38
8,Valsad,05-07-2023,29,26,51,2,39
8,Valsad,06-07-2023,29,23,45,3,35
8,Valsad,07-07-2023,28,25,42,2,30
8,Valsad,08-07-2023,29,26,40,0,34
8,Valsad,09-07-2023,29,25,41,2,30
8,Valsad,10-07-2023,30,24,41,2,28
8,Valsad,11-07-2023,31,24,49,0,36
8,Valsad,12-07-2023,31,25,40,2,28
8,Valsad,13-07-2023,31,24,42,4,34
8,Valsad,14-07-2023,29,24,40,2,35
8,Valsad,15-07-2023,30,24,41,0,27
8,Valsad,16-07-2023,28,22,54,3,32
8,Valsad,17-07-2023,30,22,55,1,30
8,Valsad,18-07-2023,29,27,55,1,33
8,Valsad,19-07-2023,33,27,43,2,38
8,Valsad,20-07-2023,28,25,52,0,35
8,Valsad,21-07-2023,31,26,42,4,34
8,Valsad,22-07-2023,33,24,49,3,29
8,Valsad,23-07-2023,32,26,54,0,27
8,Valsad,24-07-2023,32,27,41,2,39
8,Valsad,25-07-2023,29,26,47,4,39
8,Valsad,26-07-2023,28,26,55,2,27
8,Valsad,27-07-2023,32,24,42,0,36
8,Valsad,28-07-2023,30,22,42,4,39
8,Valsad,29-07-2023,29,27,42,1,37
8,Valsad,30-07-2023,32,22,52,2,30
8,Valsad,31-07-2023,31,26,45,4,39
