city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
9,bharuch,2023-07-01,33,26,90,6,25
9,bharuch,2023-07-02,31,28,77,5,21
9,bharuch,2023-07-03,36,25,87,4,19
9,bharuch,2023-07-04,29,25,79,4,14
9,bharuch,2023-07-05,28,26,80,7,24
9,bharuch,2023-07-06,36,27,90,7,14
9,bharuch,2023-07-07,33,27,88,4,24
9,bharuch,2023-07-08,35,27,77,8,22
9,bharuch,2023-07-09,34,25,82,9,15
9,bharuch,2023-07-10,29,27,84,4,23
9,bharuch,2023-07-11,29,25,84,9,20
9,bharuch,2023-07-12,32,24,85,4,18
9,bharuch,2023-07-13,29,27,88,8,14
9,bharuch,2023-07-14,33,24,77,8,24
9,bharuch,2023-07-15,28,28,85,4,24
9,bharuch,2023-07-16,30,28,75,8,22
9,bharuch,2023-07-17,30,28,80,8,14
9,bharuch,2023-07-18,29,28,76,5,15
9,bharuch,2023-07-19,30,28,88,6,15
9,bharuch,2023-07-20,28,24,85,8,16
9,bharuch,2023-07-21,28,27,83,6,21
9,bharuch,2023-07-22,33,24,79,8,21
9,bharuch,2023-07-23,28,28,77,7,14
9,bharuch,2023-07-24,30,25,89,4,23
9,bharuch,2023-07-25,36,24,85,7,20
9,bharuch,2023-07-26,28,27,75,5,18
9,bharuch,2023-07-27,28,26,87,6,20
9,bharuch,2023-07-28,29,24,89,4,21
9,bharuch,2023-07-29,29,27,77,7,23
9,bharuch,2023-07-30,32,27,89,4,15
9,bharuch,2023-07-31,35,28,89,8,25
