city_id,city_name,date,highest_temperature,lowest_temperature,Humidity,UV index,Wind_Speed
2,surat,2023-07-01,34,28,80,5,25
2,surat,2023-07-02,28,28,81,6,20
2,surat,2023-07-03,32,24,91,5,21
2,surat,2023-07-04,33,28,91,3,18
2,surat,2023-07-05,34,25,80,3,32
2,surat,2023-07-06,29,28,89,8,25
2,surat,2023-07-07,28,24,92,5,18
2,surat,2023-07-08,31,27,78,9,22
2,surat,2023-07-09,30,24,92,3,16
2,surat,2023-07-10,31,24,92,2,20
2,surat,2023-07-11,34,24,81,3,20
2,surat,2023-07-12,28,26,86,6,16
2,surat,2023-07-13,28,28,88,5,29
2,surat,2023-07-14,35,25,90,4,26
2,surat,2023-07-15,28,28,92,5,32
2,surat,2023-07-16,32,26,82,9,22
2,surat,2023-07-17,31,25,87,9,29
2,surat,2023-07-18,31,27,78,3,26
2,surat,2023-07-19,29,28,82,6,22
2,surat,2023-07-20,32,28,88,8,21
2,surat,2023-07-21,28,25,84,6,31
2,surat,2023-07-22,28,27,81,2,27
2,surat,2023-07-23,34,25,84,3,32
2,surat,2023-07-24,28,27,83,7,27
2,surat,2023-07-25,35,25,90,6,26
2,surat,2023-07-26,31,25,83,9,32
2,surat,2023-07-27,33,24,83,6,19
2,surat,2023-07-28,34,28,80,8,27
2,surat,2023-07-29,34,27,79,9,18
2,surat,2023-07-30,34,27,91,7,31
2,surat,2023-07-31,35,28,86,3,24
